dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),green,green (2),desc_col,dataview-body (6),dataview-body (7),dataview-body (8),green (3),green (4),green (5),green (6),red (2),red (3),green (8),red (4),red (5),red (6),red (7),green (9),green (10)
64,https://quote.eastmoney.com/unify/r/0.300432,300432,https://data.eastmoney.com/stockdata/300432.html,富临精工,https://data.eastmoney.com/zjlx/300432.html,"https://guba.eastmoney.com/list,300432.html",6.50,-0.31%,,,,,-0.64%,-26.71万,-0.49%,-35.15万,456.11万,8.32%,-8.44万,,,,,-0.15%,-420.96万
65,https://quote.eastmoney.com/unify/r/1.600137,600137,https://data.eastmoney.com/stockdata/600137.html,浪莎股份,https://data.eastmoney.com/zjlx/600137.html,"https://guba.eastmoney.com/list,600137.html",12.03,-0.66%,,,,,-5.58%,-21.17万,-3.31%,-35.75万,55.64万,8.69%,-14.57万,,,,,-2.28%,-19.89万
66,https://quote.eastmoney.com/unify/r/0.870199,870199,https://data.eastmoney.com/stockdata/870199.html,倍益康,https://data.eastmoney.com/zjlx/870199.html,"https://guba.eastmoney.com/list,870199.html",10.20,-2.95%,,0.00,0.00%,,-6.14%,-40.30万,-6.14%,-40.30万,,,-47.95万,,,,,-7.31%,-49.56万
67,https://quote.eastmoney.com/unify/r/1.600558,600558,https://data.eastmoney.com/stockdata/600558.html,大西洋,https://data.eastmoney.com/zjlx/600558.html,"https://guba.eastmoney.com/list,600558.html",3.67,-0.81%,,,,,-3.42%,-8.12万,-0.55%,-50.64万,1.07万,0.07%,-42.52万,49.57万,3.35%,,,-2.88%,
68,https://quote.eastmoney.com/unify/r/0.000509,000509,https://data.eastmoney.com/stockdata/000509.html,华塑控股,https://data.eastmoney.com/zjlx/000509.html,"https://guba.eastmoney.com/list,000509.html",-4.83%,-57.58万,,0.00,0.00%,,-4.83%,,,-57.58万,2.59,1.17%,,55.56万,4.66%,2.02万,0.17%,,
69,https://quote.eastmoney.com/unify/r/0.301286,301286,https://data.eastmoney.com/stockdata/301286.html,侨源股份,https://data.eastmoney.com/zjlx/301286.html,"https://guba.eastmoney.com/list,301286.html",26.65,-1.04%,,0.00,0.00%,,-9.60%,-60.10万,-9.60%,-60.10万,34.56万,5.52%,,25.53万,4.08%,,,,
70,https://quote.eastmoney.com/unify/r/0.300440,300440,https://data.eastmoney.com/stockdata/300440.html,运达科技,https://data.eastmoney.com/zjlx/300440.html,"https://guba.eastmoney.com/list,300440.html",5.22,-2.25%,,0.00,0.00%,,-3.45%,-63.04万,-3.45%,-63.04万,180.66万,9.90%,-117.62万,,,,,-6.45%,
71,https://quote.eastmoney.com/unify/r/0.301515,301515,https://data.eastmoney.com/stockdata/301515.html,港通医疗,https://data.eastmoney.com/zjlx/301515.html,"https://guba.eastmoney.com/list,301515.html",19.13,-1.24%,,0.00,0.00%,,-4.10%,-66.39万,-4.10%,-66.39万,32.59万,2.01%,,33.80万,2.09%,,,,
72,https://quote.eastmoney.com/unify/r/0.300865,300865,https://data.eastmoney.com/stockdata/300865.html,大宏立,https://data.eastmoney.com/zjlx/300865.html,"https://guba.eastmoney.com/list,300865.html",16.04,-3.37%,,0.00,0.00%,,-5.81%,-68.07万,-5.81%,-68.07万,137.55万,11.73%,-69.48万,,,,,-5.93%,
73,https://quote.eastmoney.com/unify/r/0.300733,300733,https://data.eastmoney.com/stockdata/300733.html,西菱动力,https://data.eastmoney.com/zjlx/300733.html,"https://guba.eastmoney.com/list,300733.html",9.69,-2.02%,,0.00,0.00%,,-3.86%,-73.61万,-3.86%,-73.61万,83.77万,4.40%,-10.15万,,,,,-0.53%,
74,https://quote.eastmoney.com/unify/r/0.300789,300789,https://data.eastmoney.com/stockdata/300789.html,唐源电气,https://data.eastmoney.com/zjlx/300789.html,"https://guba.eastmoney.com/list,300789.html",12.87,-2.43%,,0.00,0.00%,,-4.25%,-74.77万,-4.25%,-74.77万,266.04万,15.14%,-191.27万,,,,,-10.88%,
75,https://quote.eastmoney.com/unify/r/0.301213,301213,https://data.eastmoney.com/stockdata/301213.html,观想科技,https://data.eastmoney.com/zjlx/301213.html,"https://guba.eastmoney.com/list,301213.html",26.41,-3.89%,,,,,-2.24%,-246.38万,-7.19%,-76.69万,169.69万,4.96%,-38.27万,114.96万,3.36%,,,-1.12%,
76,https://quote.eastmoney.com/unify/r/0.000731,000731,https://data.eastmoney.com/stockdata/000731.html,四川美丰,https://data.eastmoney.com/zjlx/000731.html,"https://guba.eastmoney.com/list,000731.html",6.75,-0.30%,,0.00,0.00%,,-7.73%,-81.77万,-7.73%,-81.77万,175.67万,16.62%,-93.90万,,,,,-8.88%,
77,https://quote.eastmoney.com/unify/r/0.002386,002386,https://data.eastmoney.com/stockdata/002386.html,天原股份,https://data.eastmoney.com/zjlx/002386.html,"https://guba.eastmoney.com/list,002386.html",-4.00%,-109.33万,,,,,-5.25%,,,-83.33万,3.96,0.25%,,26.00万,1.25%,5.97万,0.29%,,
78,https://quote.eastmoney.com/unify/r/0.002946,002946,https://data.eastmoney.com/stockdata/002946.html,新乳业,https://data.eastmoney.com/zjlx/002946.html,"https://guba.eastmoney.com/list,002946.html",8.81,-0.11%,,0.00,0.00%,,-3.66%,-84.70万,-3.66%,-84.70万,119.13万,5.15%,-34.42万,,,,,-1.49%,
79,https://quote.eastmoney.com/unify/r/0.003023,003023,https://data.eastmoney.com/stockdata/003023.html,彩虹集团,https://data.eastmoney.com/zjlx/003023.html,"https://guba.eastmoney.com/list,003023.html",15.75,-1.69%,,0.00,0.00%,,-5.15%,-86.84万,-5.15%,-86.84万,124.85万,7.41%,-38.01万,,,,,-2.25%,
80,https://quote.eastmoney.com/unify/r/0.300547,300547,https://data.eastmoney.com/stockdata/300547.html,川环科技,https://data.eastmoney.com/zjlx/300547.html,"https://guba.eastmoney.com/list,300547.html",15.97,-2.26%,,,,,-1.93%,-56.84万,-1.14%,-96.05万,122.90万,2.47%,-39.21万,,,,,-0.79%,-26.86万
81,https://quote.eastmoney.com/unify/r/0.000803,000803,https://data.eastmoney.com/stockdata/000803.html,山高环能,https://data.eastmoney.com/zjlx/000803.html,"https://guba.eastmoney.com/list,000803.html",3.59,-0.28%,,0.00,0.00%,,-12.78%,-100.31万,-12.78%,-100.31万,102.58万,13.07%,-2.28万,,,,,-0.29%,
82,https://quote.eastmoney.com/unify/r/0.000790,000790,https://data.eastmoney.com/stockdata/000790.html,华神科技,https://data.eastmoney.com/zjlx/000790.html,"https://guba.eastmoney.com/list,000790.html",3.56,-0.56%,,0.00,0.00%,,-6.40%,-100.99万,-6.40%,-100.99万,112.27万,7.11%,-11.28万,,,,,-0.71%,
83,https://quote.eastmoney.com/unify/r/0.000510,000510,https://data.eastmoney.com/stockdata/000510.html,新金路,https://data.eastmoney.com/zjlx/000510.html,"https://guba.eastmoney.com/list,000510.html",2.90,-3.33%,,,,,-1.64%,-365.71万,-5.78%,-104.08万,261.63万,4.13%,-228.87万,332.95万,5.26%,,,-3.62%,
84,https://quote.eastmoney.com/unify/r/0.300434,300434,https://data.eastmoney.com/stockdata/300434.html,金石亚药,https://data.eastmoney.com/zjlx/300434.html,"https://guba.eastmoney.com/list,300434.html",7.60,-1.30%,,0.00,0.00%,,-6.99%,-104.54万,-6.99%,-104.54万,57.84万,3.87%,,46.69万,3.12%,,,,
85,https://quote.eastmoney.com/unify/r/1.600880,600880,https://data.eastmoney.com/stockdata/600880.html,博瑞传播,https://data.eastmoney.com/zjlx/600880.html,"https://guba.eastmoney.com/list,600880.html",3.72,-0.27%,,,,,-4.89%,-23.37万,-0.95%,-120.43万,397.64万,16.14%,-97.06万,,,,,-3.94%,-277.21万
86,https://quote.eastmoney.com/unify/r/0.300414,300414,https://data.eastmoney.com/stockdata/300414.html,中光防雷,https://data.eastmoney.com/zjlx/300414.html,"https://guba.eastmoney.com/list,300414.html",6.41,-2.29%,,0.00,0.00%,,-6.09%,-124.17万,-6.09%,-124.17万,136.94万,6.71%,-12.77万,,,,,-0.63%,
87,https://quote.eastmoney.com/unify/r/0.002258,002258,https://data.eastmoney.com/stockdata/002258.html,利尔化学,https://data.eastmoney.com/zjlx/002258.html,"https://guba.eastmoney.com/list,002258.html",-5.67%,-125.22万,,0.00,0.00%,,-5.67%,-93.46万,-4.23%,-125.22万,8.02,0.12%,,218.68万,9.90%,,,,
88,https://quote.eastmoney.com/unify/r/0.301596,301596,https://data.eastmoney.com/stockdata/301596.html,瑞迪智驱,https://data.eastmoney.com/zjlx/301596.html,"https://guba.eastmoney.com/list,301596.html",-0.71%,-392.74万,,,,,-2.21%,-1387.50万,-7.83%,-125.48万,81.79,0.48%,,267.26万,1.51%,1512.98万,8.53%,,
89,https://quote.eastmoney.com/unify/r/1.688553,688553,https://data.eastmoney.com/stockdata/688553.html,汇宇制药...,https://data.eastmoney.com/zjlx/688553.html,"https://guba.eastmoney.com/list,688553.html",12.46,-0.24%,,,,,-12.87%,-125.00万,-12.07%,-133.28万,261.95万,25.30%,-8.28万,,,,,-0.80%,-128.67万
90,https://quote.eastmoney.com/unify/r/0.836239,836239,https://data.eastmoney.com/stockdata/836239.html,长虹能源,https://data.eastmoney.com/zjlx/836239.html,"https://guba.eastmoney.com/list,836239.html",15.89,-3.46%,,0.00,0.00%,,-14.05%,-143.51万,-14.05%,-143.51万,,,-185.32万,,,,,-18.14%,-65.82万
91,https://quote.eastmoney.com/unify/r/0.002628,002628,https://data.eastmoney.com/stockdata/002628.html,成都路桥,https://data.eastmoney.com/zjlx/002628.html,"https://guba.eastmoney.com/list,002628.html",-9.66%,-165.71万,,0.00,0.00%,,-9.66%,-72.51万,-4.23%,-165.71万,2.05,0.49%,,238.21万,13.88%,,,,
92,https://quote.eastmoney.com/unify/r/0.000912,000912,https://data.eastmoney.com/stockdata/000912.html,泸天化,https://data.eastmoney.com/zjlx/000912.html,"https://guba.eastmoney.com/list,000912.html",-13.09%,-101.35万,,,,,-7.85%,-67.80万,-5.25%,-169.15万,3.59,0.28%,,146.83万,11.37%,22.31万,1.73%,,
93,https://quote.eastmoney.com/unify/r/0.300471,300471,https://data.eastmoney.com/stockdata/300471.html,厚普股份,https://data.eastmoney.com/zjlx/300471.html,"https://guba.eastmoney.com/list,300471.html",8.05,-0.12%,,0.00,0.00%,,-10.36%,-176.59万,-10.36%,-176.59万,180.05万,10.56%,-3.45万,,,,,-0.20%,
94,https://quote.eastmoney.com/unify/r/0.833230,833230,https://data.eastmoney.com/stockdata/833230.html,欧康医药,https://data.eastmoney.com/zjlx/833230.html,"https://guba.eastmoney.com/list,833230.html",8.92,-1.55%,,0.00,0.00%,,-21.48%,-181.11万,-21.48%,-181.11万,,,-162.30万,,,,,-19.25%,-82.27万
95,https://quote.eastmoney.com/unify/r/1.688513,688513,https://data.eastmoney.com/stockdata/688513.html,苑东生物,https://data.eastmoney.com/zjlx/688513.html,"https://guba.eastmoney.com/list,688513.html",32.90,-2.14%,,,,,-10.12%,-36.81万,-2.04%,-182.45万,259.93万,14.42%,-145.64万,,,,,-8.08%,-77.48万
96,https://quote.eastmoney.com/unify/r/1.688696,688696,https://data.eastmoney.com/stockdata/688696.html,极米科技,https://data.eastmoney.com/zjlx/688696.html,"https://guba.eastmoney.com/list,688696.html",75.72,-1.03%,,,,,-8.39%,-117.40万,-5.37%,-183.25万,172.25万,7.88%,-65.85万,11.00万,0.50%,,,-3.01%,
97,https://quote.eastmoney.com/unify/r/1.603317,603317,https://data.eastmoney.com/stockdata/603317.html,天味食品,https://data.eastmoney.com/zjlx/603317.html,"https://guba.eastmoney.com/list,603317.html",11.26,-0.79%,,,,,-4.41%,-219.09万,-5.26%,-184.02万,35.07万,0.84%,-63.18万,247.20万,5.93%,,,-1.52%,
98,https://quote.eastmoney.com/unify/r/0.000558,000558,https://data.eastmoney.com/stockdata/000558.html,莱茵体育,https://data.eastmoney.com/zjlx/000558.html,"https://guba.eastmoney.com/list,000558.html",-7.14%,-141.35万,,2.24,0.00%,,-5.29%,-49.46万,-1.85%,-190.80万,76.53万,2.86%,,114.28万,4.28%,,,,
99,https://quote.eastmoney.com/unify/r/0.000710,000710,https://data.eastmoney.com/stockdata/000710.html,贝瑞基因,https://data.eastmoney.com/zjlx/000710.html,"https://guba.eastmoney.com/list,000710.html",7.45,-0.40%,,0.00,0.00%,,-5.79%,-197.62万,-5.79%,-197.62万,47.59万,1.40%,,150.04万,4.40%,,,,
100,https://quote.eastmoney.com/unify/r/0.300540,300540,https://data.eastmoney.com/stockdata/300540.html,蜀道装备,https://data.eastmoney.com/zjlx/300540.html,"https://guba.eastmoney.com/list,300540.html",20.60,-0.68%,,0.00,0.00%,,-12.29%,-205.71万,-12.29%,-205.71万,195.59万,11.68%,,10.12万,0.60%,,,,
