name,gender,education,biography,age,position,tenure,company_name
吴昌华,性别:女,学历:硕士,"吴昌华,美国国籍,生于1965年,山东大学外文系英美语言文学学士,中国社会科学院研究生院新闻系硕士,美国马里兰大学公共事务学院环境政策与生态经济学硕士。吴昌华女士曾先后担任中国环境报英文版编辑,美国世界资源研究所中国项目主管,美国ENSR国际环境咨询中国区总经理、英国气候组织大中华区总裁以及朗天众创环保科技(北京)有限公司创始人兼总裁,现任美国里夫金办公室亚洲主任、亚太水论坛执委会主席、新加坡CN Innovation首席战略官、未来创新中心主席、日本清凉地球创新论坛(ICEF)指导委员会委员、亚洲开发银行水安全顾问委员会委员,在ESG、可持续发展和新能源领域拥有丰富的经验和专业见解。",当前年龄:60,职务:独立董事,任职时间:2023-04-14至今,天齐锂业
王东杰,性别:女,学历:硕士,"王东杰,中国国籍,生于1968年,四川大学法律系学士,工商管理研究生,高级经济师,具有法律职业资格。王东杰女士自2023年4月起担任公司监事会主席,其负责主持监事会的全面工作以及监督董事及高级管理层的职责履行情况。王东杰女士曾先后在四川省纺织厅纺织工业供销公司、西南纺织市场和四川蜀联纺织股份公司进出口分公司工作;1999年5月起在四川省投资集团有限责任公司就职,先后从事审计监察、诉讼与非诉讼法务、风险控制及合规管理等工作。",当前年龄:57,"职务:监事会主席,非职工代表监事",任职时间:2023-04-14至今,天齐锂业
陈泽敏,性别:女,学历:本科,"陈泽敏,中国国籍,生于1973年,大学本科学历,会计师。陈泽敏女士自2021年9月起担任公司监事,负责监督董事及高级管理人员的职责履行情况。陈泽敏女士2001年12月至2013年在成都天齐机械五矿进出口有限责任公司就职,先后担任财务主管、财务经理等职务,2013年至今在成都天齐实业(集团)有限公司就职,先后担任资金部经理、财务部经理、财务总监等职务,现任财务总监、高级副总裁职务。",当前年龄:52,职务:非职工代表监事,任职时间:2023-04-14至今,天齐锂业
黄夏舒,性别:女,学历:本科,"黄夏舒女士,中国国籍,生于1988年,大学本科学历,国际注册内部审计师,国际注册反舞弊师。自2011年7月起加入天齐锂业股份有限公司,目前担任审计副总监一职。此外,黄夏舒女士目前担任公司全资子公司天齐锂业(射洪)有限公司、天齐锂业(江苏)有限公司、天齐锂业资源循环技术研发(江苏)有限公司之监事职务。",当前年龄:37,职务:职工代表监事,任职时间:2024-10-11至今,天齐锂业
刘嫏,性别:女,学历:硕士,"刘嫏:女,中共党员,1968年生,公共管理专业,研究生学历,正高级经济师、高级审计师、会计师。曾任成都城乡商贸物流发展投资(集团)有限公司党委副书记、纪委书记,四川省内部审计师协会理事,成都环晨环境实业有限公司执行董事、党支部书记。现任成都环境投资集团有限公司党委委员、副总经理,成都市兴蓉环境股份有限公司党委书记、董事长。",当前年龄:56,"职务:董事长,法定代表人,非独立董事",任职时间:2022-12-20至今,兴蓉环境
杨磊,性别:男,学历:本科,"杨磊:男,中共党员,1970年生,工业管理工程专业,本科学历,学士学位,高级工程师。曾任成都市排水有限责任公司党委书记、董事长。现任成都市兴蓉环境股份有限公司党委副书记、董事、总经理,四川省环保产业协会副会长。",当前年龄:54,"职务:总经理,非独立董事",任职时间:2018-12-25至今,兴蓉环境
兰彭华,性别:男,学历:本科,"兰彭华:男,中共党员,1974年生,港口及航道工程专业,本科学历,学士学位,高级工程师。曾任成都市温江兴蓉柳投环保工程有限公司董事长、总经理,成都市兴蓉再生能源有限公司党总支副书记、董事、总经理、党委副书记,成都市兴蓉万兴环保发电有限公司党支部书记、执行董事。现任成都市兴蓉环境股份有限公司副总经理。",当前年龄:50,职务:副总经理,任职时间:2021-09-29至今,兴蓉环境
杨程皓,性别:女,学历:本科,"杨程皓女士:1985年出生,汉族,中共党员,中国国籍,汉语言文学(基地班)专业,本科学历,学士学位,曾任成都环境投资集团有限公司党委办公室文秘写作岗高级主管、综合管理部副部长,成都沱江投资建设有限公司监事会主席,成都环境投资集团有限公司董事会办公室(综合管理部)副主任(副部长),成都环境建设管理有限公司监事会主席。现任成都市兴蓉环境股份有限公司副总经理、综合管理部部长。",当前年龄:39,"职务:副总经理,首席合规官",任职时间:2022-12-20至今,兴蓉环境
赵璐,性别:女,学历:硕士,"赵璐,女,汉族,中共党员,1983年生,会计与金融管理专业,硕士研究生学历学位。曾任广东星普医学科技股份有限公司董事会秘书,成都市兴蓉环境股份有限公司董事、董事会秘书。现任成都市兴蓉环境股份有限公司党委委员、副总经理(财务负责人),四川省上市公司协会第五届理事会理事。",当前年龄:41,"职务:副总经理,财务负责人",任职时间:2024-06-14至今,兴蓉环境
李雷,性别:男,学历:硕士,"李雷:男,中共党员,1984年生,软件工程专业,硕士研究生学历学位,经济师。曾任三峡资本控股有限责任公司投资业务部部门副总经理,硅谷数模(苏州)半导体股份有限公司董事,雄安浦华水务科技有限公司董事,绿色动力环保集团股份有限公司董事,江苏中车电机有限公司董事,力合科技(湖南)股份有限公司董事。现任三峡资本控股有限责任公司投资业务一部总经理,成都市兴蓉环境股份有限公司董事,东方电气(成都)氢能科技有限公司董事。",当前年龄:40,职务:非独立董事,任职时间:2023-08-25至今,兴蓉环境
贾飒飒,性别:女,学历:硕士,"贾飒飒:女,中共党员,1981年生,管理科学与工程专业,硕士研究生学历学位,高级工程师、高级经济师。曾任成都轨道建设管理有限公司董事、副总经理,成都轨道交通集团有限公司职工监事,成都环境投资集团有限公司项目管理部副部长,成都原水投资有限公司党总支委员、董事、副总经理,成都市李家岩开发有限公司副总经理,成都环境投资集团有限公司法务风控部副部长,成都彭州环境投资有限公司监事会主席,成都环投资本管理有限公司监事。现任成都环境投资集团有限公司职工监事、法务风控部部长、成都绿色低碳产业投资集团有限公司监事会主席、成都环境工程建设有限公司董事、成都市兴蓉环境股份有限公司董事。",当前年龄:43,职务:非独立董事,任职时间:2023-08-25至今,兴蓉环境
邹佳,性别:女,学历:硕士,"邹佳女士:1984年10月出生,汉族,中共党员,中国国籍,无境外永久居留权,思想政治教育专业,硕士研究生学历学位。曾任成都环境投资集团有限公司党群工作部部长、职工监事、工会副主席、团委副书记、党委办公室(党群工作部)主任(部长),成都兴蓉环保科技有限公司监事会主席,成都市兴蓉环境股份有限公司党委副书记、纪委书记、副总经理、综合管理部部长(兼)。现任成都市兴蓉环境股份有限公司党委专职副书记。",当前年龄:40,职务:非独立董事,任职时间:2024-07-02至今,兴蓉环境
刘杰,性别:男,学历:硕士,"刘杰先生:1986年出生,汉族,中共党员,中国国籍,会计学专业,硕士研究生学历学位,会计师。曾任成都市排水有限责任公司副总经理、成都市兴蓉环境股份有限公司董事、副总经理(财务负责人)。现任成都市兴蓉环境股份有限公司董事会秘书。",当前年龄:38,"职务:非独立董事,董事会秘书",任职时间:2024-06-14至今,兴蓉环境
姜玉梅,性别:女,学历:博士,"姜玉梅:女,中共党员,1963年生,法律专业,博士研究生学历学位,博士生导师,享受“国务院政府特殊津贴”专家。曾任西南财经大学国际商学院执行院长,四川达威科技股份有限公司独立董事、空间信息产业发展股份有限公司独立董事。现任西南财经大学中国(四川)自贸试验区综合研究院执行院长,四川省委、省政府决策咨询委员会委员,全国国际商务专业学位研究生教育指导委员会委员,中国国际贸易学科协作组副理事长,中国服务贸易协会副理事长,中国国际贸易学会自贸区港专业委员会,四川省“内陆地区对外直接投资创新发展协同创新中心”负责人,成都市兴蓉环境股份有限公司、依米康科技集团股份有限公司、通威股份有限公司及凉山农村商业银行股份有限公司的独立董事,四川天府银行外部监事。",当前年龄:61,职务:独立董事,任职时间:2023-08-25至今,兴蓉环境
王新,性别:男,学历:博士,"王新:男,中共党员,1983年生,财务管理专业,博士研究生学历学位,教授,博士生导师,注册会计师。曾任西南财经大学国际教育学院副院长、国际交流与合作处副处长。现任西南财经大学会计学院教授、国际交流与合作处处长兼国际教育学院院长,成都市兴蓉环境股份有限公司及四川长虹电器股份有限公司独立董事,四川九洲投资控股集团有限公司外部董事。",当前年龄:41,职务:独立董事,任职时间:2023-08-25至今,兴蓉环境
潘席龙,性别:男,学历:博士,"潘席龙:男,1969年生,农业经济管理专业,博士研究生学历学位,美国加州州立大学MBA,美国华盛顿州立大学访问学者。曾任成都优拿味思贸易有限公司总经理,内江兴隆村镇银行股份有限公司独立董事,成都运达科技股份有限公司独立董事。现任西南财经大学中国金融研究院副教授,成都财情教育科技有限公司董事长,成都市兴蓉环境股份有限公司及成都欣捷高新技术开发股份有限公司独立董事,内江兴隆村镇银行股份有限公司外部监事。",当前年龄:55,职务:独立董事,任职时间:2023-08-25至今,兴蓉环境
白鹏,性别:男,学历:博士,"白鹏:男,中共党员,1983年生,土木工程专业,博士研究生学历学位,高级工程师。曾任成都环境投资集团有限公司技术中心副主任、技术中心主任,成都沱江流域投资发展集团有限公司董事,成都环境创新科技有限公司党支部书记、董事、总经理,成都环投城市管理服务有限公司董事。2020年11月至2021年11月,挂任成都市生态环境局环保产业与科技信息化处副处长。现任成都市兴蓉环境股份有限公司监事会主席,成都环境投资集团有限公司技术中心(总工程师办公室)主任,成都环投新能源产业发展有限公司党支部书记、董事长,成都市环境科学学会副理事长。",当前年龄:41,"职务:监事会主席,非职工监事",任职时间:2023-08-25至今,兴蓉环境
李晓,性别:女,学历:硕士,"李晓:女,中共党员,1987年生,工商管理专业,硕士研究生学历学位,经济师。曾任成都环境投资集团有限公司党委办公室副主任、党委办公室主任,成都环境建设管理有限公司监事会主席、成都环投水美乡村环境治理有限公司董事。现任成都市兴蓉环境股份有限公司监事,成都环境投资集团有限公司纪委委员、职工监事、组织人事部(人力资源部)部长,成都环境水务建设有限公司党委副书记、董事、总经理,成都兴蓉市政设施管理有限公司监事会主席。",当前年龄:37,职务:非职工监事,任职时间:2023-08-25至今,兴蓉环境
沈青峰,性别:男,学历:本科,"沈青峰:男,中共党员,1966年生,管理工程专业,本科学历,学士学位,高级经济师。曾任成都市兴蓉环境股份有限公司董事会秘书。现任成都市兴蓉环境股份有限公司党委委员、工会主席、职工监事、四川省城镇供水排水协会第八届理事单位代表。",当前年龄:58,职务:职工监事,任职时间:2023-08-25至今,兴蓉环境
王晖,性别:男,学历:博士,"王晖先生,1967年出生,西南财经大学中国金融研究中心金融学专业毕业,博士研究生,正高级经济师。现任本公司党委书记、董事长,兼任中国银行业协会城市商业银行工作委员会第四届常务委员会委员。曾任四川省建设银行直属支行投资信贷科科长、副行长;建设银行成都分行投资信贷处处长;建设银行成都市第六支行行长;建设银行四川省分行营业部(原成都分行)副总经理;建设银行成都市第一支行行长;本公司党委副书记、党委委员、副董事长、行长。曾兼任四川锦程消费金融有限责任公司董事长。",当前年龄:58,"职务:董事长,法定代表人,非独立董事",任职时间:2018-08-07至今,成都银行
徐登义,性别:男,学历:硕士,"徐登义先生:1968年9月出生,西南财经大学工商管理硕士专业毕业,工商管理硕士,会计师。现任本公司党委副书记,行长(任职资格待国务院银行业监督管理机构核准,在核准前代为履行行长职责)。曾任中国建设银行成都市分行财务会计处会计科副科长、第一支行副行长(挂职锻炼)、会计处副处长;中国建设银行四川省分行营业部会计部副经理;中国建设银行成都市第一支行党总支委员、副行长(挂职锻炼);中国建设银行四川省分行会计结算部副总经理;中国建设银行泸州分行党委副书记、副行长(主持工作)、党委书记、行长;中国建设银行四川省分行财务会计部总经理、机构业务部总经理、资深副经理(专业技术二级)兼分行纪委副书记兼纪委办公室主任;成都农商银行党委副书记、副董事长、行长。",当前年龄:57,"职务:行长,副董事长,非独立董事",任职时间:2024-10-24至今,成都银行
Ho Wai Choong(何维忠),性别:男,学历:硕士,"何维忠先生,1955年出生,美国罗彻斯特大学金融与企业会计专业毕业,工商管理硕士。现任本公司副董事长,马来西亚丰隆银行有限公司中国区董事总经理,四川锦程消费金融有限责任公司董事。曾任马来西亚美国运通公司多个经理职务;马来西亚MBF信用卡服务公司总经理;马来西亚GeneSys软件公司首席执行官;马来西亚兴业银行银行卡中心高级经理;新加坡万事达卡国际公司副总裁负责东南亚运营及系统部;马来西亚Insas高科技集团公司副首席执行官;花旗银行马来西亚分行副行长、个人银行首席营运官;花旗银行台湾区分行副行长、个人银行首席营运官;花旗软件技术服务(上海)有限公司总经理兼董事;曾兼任北京大学软件与微电子学院金融信息工程系系主任,授课并担任研究生导师。",当前年龄:70,"职务:副董事长,非独立董事",任职时间:2024-06-12至今,成都银行
李婉容,性别:女,学历:本科,"李婉容女士,1967年出生,四川省委党校行政管理专业毕业,大学学历,高级经济师、会计师。现任本公司副行长,兼任四川省会计学会第八届理事会理事、四川省支付清算协会第五届副会长。曾任建设银行成都市信托投资公司计划财会部副经理、经理;成都城市合作银行筹备领导小组办公室财务会计组副组长;本公司营业部副主任,资金清算中心副总经理、总经理,会计结算部总经理,长顺支行行长,个人金融部总经理,本公司行长助理。",当前年龄:58,职务:副行长,任职时间:2016-09-22至今,成都银行
罗结,性别:男,学历:硕士,"罗结先生,1970年出生,西南财经大学金融学专业毕业,硕士研究生,经济师。现任本公司副行长。曾任中国人民银行四川省分行稽核处科员、副主任科员;中国人民银行成都分行内审处副主任科员、系统审计二科科长、系统审计一科科长;中国人民银行楚雄州中心支行行长助理;中国人民银行成都分行内审处副处长、处长;中国人民银行攀枝花市中心支行党委书记、行长兼国家外汇管理局攀枝花市中心支局局长;中国人民银行成都分行(国家外汇管理局四川省分局)国际收支处处长;本公司行长助理、董事会秘书。",当前年龄:55,职务:副行长,任职时间:2022-12-28至今,成都银行
龚民,性别:男,学历:硕士,"龚民先生,1967年出生,四川大学光学专业毕业,理学学士,四川大学工商管理硕士,工程师。现任本公司副行长,兼任成都市蓉商总会第一届理事会理事、成都市财政会计学会第四届理事会理事。曾任成都灯泡厂二车间副主任、企业管理办公室主任、光学中心副主任;成都技术改造投资公司综合部主任兼企划部经理;成都中小企业信用担保有限责任公司副总经理、常务副总经理;成都中小企业融资担保有限责任公司总经理;成都工业投资集团有限公司党委委员、副总经理(其间兼任成都中小企业融资担保有限责任公司董事长);成都文化旅游发展集团有限责任公司副总经理;本公司总行首席客户经理(副行级技术序列)。",当前年龄:58,职务:副行长,任职时间:2022-12-28至今,成都银行
陈海波,性别:男,学历:硕士,"陈海波先生,1979年出生,四川师范大学会计学专业毕业,管理学学士,西南财经大学工商管理硕士。现任本公司副行长、董事会秘书,兼任四川省金融学会第七届理事会理事,中国上市公司协会第三届理事会会员代表(会员理事)。曾任本公司青白江支行办公室副主任、主任;本公司资阳分行筹备组副组长;本公司资阳分行副行长;本公司彭州支行副行长(主持工作),本公司彭州支行行长(代行职务);本公司资阳分行行长(代行职务),本公司资阳分行行长;本公司资阳分行行长兼成都简阳支行行长;本公司重庆分行党委书记、行长。",当前年龄:46,"职务:副行长,董事会秘书",任职时间:2022-12-28至今,成都银行
马晓峰,性别:男,学历:本科,"马晓峰先生:1973年9月出生,中国国籍,四川美术学院美术教育专业毕业,大学本科学历,编审。现任本公司董事,新华文轩出版传媒股份有限公司副总经理。曾任四川民族出版社编辑、美术编辑室副主任、艺术编辑室主任;四川画报社副社长;四川美术出版社有限公司执行董事、总经理、社长;省委宣传部出版处(古籍整理出版规划办公室)副处长、二级调研员;四川新华出版发行集团总经理助理;四川读者报社有限公司执行董事;四川看熊猫杂志有限公司执行董事。",当前年龄:52,职务:非独立董事,任职时间:2024-06-12至今,成都银行
王永强,性别:男,学历:本科,"王永强先生:1970年12月出生,中国国籍,国际关系学院汉语言文学专业毕业,大学学历,文学学士,经济师。现任本公司董事,成都交子金融控股集团有限公司党委书记、董事长,兼任四川省钱币学会会长、成都市复旦西部国际金融研究院理事。曾任中国人民银行遵义市中心支行党委委员、副行长;中国人民银行成都分行金融稳定处副处长;中国人民银行巴中市中心支行党委书记、行长兼国家外汇管理局巴中市中心支局局长;中国人民银行成都分行办公室(党委办公室)主任,中国人民银行成都分行党委委员、副行长等职。",当前年龄:55,职务:非独立董事,任职时间:2024-06-12至今,成都银行
付剑峰,性别:男,学历:博士,"付剑峰先生:1982年出生,四川大学工商管理学院公司金融专业毕业,博士研究生,副研究员。现任成都交子金控股权投资(集团)有限公司党总支委员、书记、董事长,成都金控产业引导股权投资基金管理有限公司党支部书记、执行董事(成都市产业引导股权投资基金有限公司董事长)。曾任中国科学技术发展战略研究院科技投资所助理研究员、副研究员;成都市金融工作局局长助理(挂职);成都市地方金融监督管理局局长助理(挂职)、资本市场处处长、地方金融监管三处处长、中共成都市地方金融监督管理局资本市场处支部书记;成都交子金融控股集团有限公司投资总监。",当前年龄:43,职务:董事,任职时间:2024-11-13至今,成都银行
KWEK Leng Hai(郭令海),性别:男,学历:--,"郭令海先生,自二零一六年九月一日起为国浩集团有限公司(「国浩」)董事会(「董事会」)执行主席、董事会提名委员会(「提委会」)主席及董事会薪酬委员会(「酬委会」)成员。自一九九零年起,彼获委任为国浩之董事,并自一九九五年起担任国浩之总裁、行政总裁至二零一六年九月一日。彼亦为于新加坡证券交易所(「新交所」)上市之国浩房地产有限公司(「国浩房地产」,国浩之附属公司)之非执行董事。彼为国浩之最终控股公司GuoLine Capital Assets Limited(「GCAL」)之董事及股东。彼于马来西亚证券交易所(「马交所」)上市之丰隆银行有限公司(「丰隆银行」,其为于马交所上市之国浩联营公司丰隆金融集团有限公司(「丰隆金融」)之附属公司)以及于上海证券交易所上市之丰隆银行联营公司成都银行股份有限公司担任非执行董事。彼同时担任南顺(香港)有限公司(「南顺(香港)」,于香港交易及结算所有限公司(「香港交易所」)上市之丰隆集团附属公司)之主席。郭先生取得英格兰及威尔斯特许会计师公会(InstituteofCharteredAccountantsinEnglandandWales)之特许会计师资格。",当前年龄:72,职务:非独立董事,任职时间:2024-06-12至今,成都银行
余力,性别:男,学历:本科,"余力先生:1969年出生,四川大学经济学系经济学专业毕业,大学学历,经济学学士,经济师。现任成都产业资本控股集团有限公司总经理,兼任成都工投美吉投资有限公司董事长、中铁信托有限责任公司董事、成都高新锦泓科技小额贷款有限责任公司董事长、明达玻璃(成都)有限公司副董事长。曾任成都飞机工业公司党校教员;成都证券上海业务部交易员;蜀都大厦营业部交易部副经理;成都证券(后更名为国金证券)宁夏街营业部副总经理兼交易部经理,交易管理总部总经理,经纪业务部、经纪业务管理总部总经理,总裁助理;上海朝阳永续理财顾问有限公司总裁;上海普沌投资管理有限公司董事长;成都工投资产经营有限公司总经理等职。",当前年龄:56,职务:董事,任职时间:2024-11-13至今,成都银行
余海宗,性别:男,学历:博士,"余海宗先生:1964年5月出生,汉族,中共党员,中国国籍,无境外永久居留权,西南财经大学会计学院毕业,研究生学历,管理学博士学位,注册会计师。现任西南财经大学会计学院教授,兼任四川成渝高速公路股份有限公司独立董事、成都先导药物开发股份有限公司独立董事。曾任四川威远钢铁厂财务科会计。",当前年龄:61,职务:独立董事,任职时间:2024-11-13至今,成都银行
